mineral_group,share_of_layer_affected_value_pct
Copper,38.12027038488196
Nickel,12.299562497318917
PGM,7.154757580572766
RareEarth,1.1198645935958011
Aluminium,12.29652940311961
Manganese,3.9698958045535697
Other,25.03911973595737
