year,mismatch_pct,redistribution_pp
2012,44.50682494493905,21.699611926880188
2013,43.9866891493284,21.03381733350703
2014,44.92155333024223,21.030847733497467
2015,44.519657423211534,20.44775213289925
2016,43.09966617266106,19.85548035262539
2017,41.430938717856776,19.388278821110777
2018,40.88294215833583,18.420050696535807
2019,41.74047955657395,19.773916531179594
2020,43.9770295813259,22.57922412718169
2021,44.153069474589536,22.53229507926133
2022,42.67987869976955,20.63105730605013
2023,39.45034222499254,18.280706141691685
2024,38.5578670940582,18.3478117385383
