year,metal,endpoint_value_usd
2021,Aluminium,3284135411.888349
2021,Antimony,11771919.786795096
2021,Boron,10887372.5174971
2021,Chromium,2271958818.86018
2021,Cobalt,409095281.29401696
2021,Copper,19661073030.33488
2021,Graphite,36873973.88513658
2021,Lead,2092024655.022426
2021,Lithium,176570140.95633715
2021,Magnesium,87014322.77333409
2021,Manganese,124240861.4748666
2021,Molybdenum,22671896.063819155
2021,Nickel,3666870981.679415
2021,PGM,339495597.16546273
2021,RareEarth,91134067.31612416
2021,Silver,403595279.2670797
2021,Tin,511558443.6213961
2021,Titanium,62103107.45936563
2021,Tungsten,14689623.066743238
2021,Vanadium,216665362.03266937
2021,Zinc,843740023.3566898
2021,Zirconium,20562504.699013244
2022,Aluminium,7769612212.360586
2022,Antimony,16821820.894317143
2022,Boron,1860209.4560801669
2022,Chromium,190471885.19624096
2022,Cobalt,36367182.36762903
2022,Copper,55189738264.2746
2022,Graphite,165951038.5400096
2022,Lead,502013862.39987576
2022,Lithium,120604418.23805736
2022,Magnesium,6133298.858987026
2022,Manganese,1217277412.3492746
2022,Molybdenum,253303285.80561897
2022,Nickel,10098432943.173632
2022,PGM,3475397.585088944
2022,RareEarth,468864312.940436
2022,Silver,27979515.639645662
2022,Tin,117281515.40109608
2022,Titanium,2175683.1694203755
2022,Tungsten,13987747.141158145
2022,Vanadium,65562757.94982005
2022,Zinc,8172964359.256565
2022,Zirconium,32670285.310229447
2023,Aluminium,292626247.84719014
2023,Antimony,203769149.07138807
2023,Boron,89645387.57064225
2023,Chromium,171060457.87478623
2023,Cobalt,115003433.48223566
2023,Copper,3345371199.702249
2023,Graphite,134536733.54514003
2023,Lead,1038490621.9485508
2023,Lithium,385155563.2861569
2023,Magnesium,8175954.189636303
2023,Manganese,4567069392.370913
2023,Molybdenum,1499686.1075169086
2023,Nickel,1796078594.7621562
2023,PGM,25442017.77610524
2023,RareEarth,469892225.3337262
2023,Silver,192383287.9099024
2023,Tin,615150819.2994144
2023,Titanium,37552112.60179593
2023,Tungsten,5294017.273722386
2023,Vanadium,28510724.51535452
2023,Zinc,1894294940.175045
2023,Zirconium,41224331.95360643
2024,Aluminium,6068153158.360399
2024,Chromium,496476923.8434389
2024,Cobalt,18976630.134606503
2024,Copper,2342620581.567875
2024,Graphite,68479766.72947118
2024,Lead,582919631.6159115
2024,Lithium,4239855583.266017
2024,Magnesium,8502467.868426459
2024,Manganese,29459358.30647045
2024,Molybdenum,10313244.687358355
2024,Nickel,3749404150.273882
2024,PGM,2035140.2798965983
2024,RareEarth,69809378.16861995
2024,Silver,67169696.96117623
2024,Tin,386962342.5438625
2024,Titanium,16953092.41794537
2024,Tungsten,43962109.57702607
2024,Vanadium,100388196.29375634
2024,Zinc,120429719.11787876
2024,Zirconium,187888633.43085703
