threshold,value_share_pct
0.025,2.659392515811594
0.02525,2.6486506999747044
0.0255,2.257891602475341
0.02575,2.23583423942045
0.026,2.2302777205648288
0.02625,2.1956342834468425
0.0265,2.008178860053345
0.02675,1.996504093137024
0.02695,1.962880780391819
0.027,1.961912731194826
0.02725,1.956250563009963
0.0275,1.956250563009963
0.02775,1.927353704366174
0.028,1.908725774653572
0.02825,1.876090755261704
0.0285,1.8737292073441
0.02875,1.8662927685159207
0.0289,1.8662927685159207
0.029,1.864390110412239
0.02925,1.852339148035948
0.0295,1.8517583404504336
0.02975,1.8496927943146504
0.03,1.8345636807143
0.03025,1.8338920597652015
0.0305,1.78740292008006
0.03075,1.781080340702322
0.03085,1.78013105935793
0.031,1.7607925580432302
0.03125,1.7603779777172297
0.0315,1.7133851507446467
0.03175,1.7099296791472698
0.032,1.7016246351495354
0.03225,1.699503488967563
0.0325,1.6759597102428736
0.03275,1.675284053889611
0.0328,1.675284053889611
0.033,1.63365666524558
0.03325,1.617103619166378
0.0335,1.616477077778087
0.03375,1.6140674908389376
0.034,1.606700377429184
0.03425,1.606700377429184
0.0345,1.6057669296325858
0.03475,1.6020242425649742
0.035,1.5867908189494806
0.03525,1.5867908189494806
0.0355,1.5865060585981996
0.03575,1.5865060585981996
0.036,1.5865060585981996
0.03625,1.441596686243869
0.0365,1.4412263835594643
0.0366999999999999,1.4383913761522298
0.03675,1.4367226726415638
0.037,1.432879054980592
0.03725,1.4164089378839704
0.0375,1.3920885996967052
0.03775,1.3678673912823425
0.038,1.2313221771780465
0.03825,1.225512608946794
0.0385,1.2201789188588628
0.03865,1.2179991583287364
0.03875,1.2179991583287364
0.039,1.1215726641437638
0.03925,1.105215445807043
0.0395,1.103651964570304
0.03975,1.1032967201933308
0.04,1.040025536892054
0.04025,1.0392035321699111
0.0405,1.0346022827683985
0.0406,1.0346022827683985
0.04075,0.9711972376993668
0.041,0.9711972376993668
0.04125,0.9448112460931803
0.0415,0.9441820195252036
0.04175,0.9306987467084966
0.042,0.9186792541416292
0.04225,0.9137146991642308
0.0425,0.9102480642407778
0.04255,0.9102480642407778
0.04275,0.9091726242262202
0.043,0.9057631238966248
0.04325,0.9049328602823696
0.0435,0.9049328602823696
0.04375,0.9014993552127047
0.044,0.8923632948956006
0.04425,0.8920787517482303
0.0445,0.8854541747972523
0.04475,0.8845591832542192
0.045,0.8833459297745553
0.04525,0.8778185428687876
0.0455,0.8768529597686074
0.04575,0.8742543342890846
0.046,0.8653768151464398
0.04625,0.86416912206684
0.04645,0.8615331725404621
0.0465,0.8433853347042495
0.04675,0.8296332605918155
0.047,0.8296332605918155
0.04725,0.794094584446931
0.0475,0.794094584446931
0.04775,0.792460792924572
0.048,0.792460792924572
0.04825,0.7923371608186397
0.0484,0.786288206209
0.0485,0.7861298711913871
0.04875,0.7836832954527813
0.049,0.7787530642430328
0.04925,0.7787530642430328
0.0495,0.7722611517068024
0.04975,0.7714643730236104
0.05,0.6421462521829755
0.05025,0.6418723632556382
0.05035,0.6418723632556382
0.0505,0.6399903354903728
0.05075,0.6396554531434057
0.051,0.6383045372844109
0.05125,0.6375027370950809
0.0515,0.6375027370950809
0.05175,0.6341528494734908
0.052,0.6134009052337114
0.05225,0.6134009052337114
0.0523,0.6134009052337114
0.0525,0.610079198318196
0.05275,0.6033216612502238
0.053,0.5970397766897919
0.05325,0.5970397766897919
0.0535,0.595982059971417
0.05375,0.5932251749835676
0.054,0.5932251749835676
0.05425,0.5920735534026572
0.05425,0.5920735534026572
0.0545,0.5918970243688465
0.05475,0.5918970243688465
0.055,0.5887095059806648
0.05525,0.5842696936343497
0.0555,0.5842696936343497
0.05575,0.5842696936343497
0.056,0.5842696936343497
0.0562,0.5834837646908396
0.05625,0.5834837646908396
0.0565,0.5270611830530089
0.05675,0.5032329060766133
0.057,0.5032329060766133
0.05725,0.5028535595153364
0.0575,0.4954119623539323
0.05775,0.4949545575211883
0.058,0.4949545575211883
0.05815,0.4934979525996878
0.05825,0.4909385166614756
0.0585,0.4909385166614756
0.05875,0.4840545705001181
0.059,0.4763358111266506
0.05925,0.4738263696405984
0.0595,0.4731346865110388
0.05975,0.4722965764263446
0.06,0.4722965764263446
0.0601,0.4722965764263446
0.06025,0.4721375858817531
0.0605,0.4721375858817531
0.06075,0.4721375858817531
0.061,0.471751879534121
0.06125,0.4715047332489064
0.0615,0.4631307442273491
0.06175,0.4616803409929821
0.062,0.4513588728859024
0.06205,0.4513588728859024
0.06225,0.4513588728859024
0.0625,0.4513588728859024
0.06275,0.4370853369716599
0.063,0.4128553253538171
0.06325,0.4128553253538171
0.0635,0.4126789968424115
0.06375,0.4082169071719221
0.064,0.4080125370718003
0.06425,0.4072716148836909
0.0645,0.4070947554971407
0.06475,0.40696650629734
0.065,0.4047683098339458
0.06525,0.4047683098339458
0.0655,0.3829372172588074
0.06575,0.3829372172588074
0.06595,0.3829372172588074
0.066,0.3829372172588074
0.06625,0.3829372172588074
0.0665,0.3829372172588074
0.06675,0.3433172536503488
0.067,0.3433172536503488
0.06725,0.343192714028167
0.0675,0.343192714028167
0.06775,0.343192714028167
0.0679,0.343192714028167
0.068,0.343192714028167
0.06825,0.3428504233049858
0.0685,0.3428504233049858
0.06875,0.3428504233049858
0.069,0.3413252155418742
0.06925,0.3409891925795495
0.0695,0.3390516399006095
0.06975,0.3390516399006095
0.06985,0.338869279955981
0.07,0.338869279955981
