year,exporter,importer,index,longitude,latitude
2021,AUS,FIN,147,24.907997,60.112071
2021,ALB,CHN,0,19.3944,41.2626
2021,ALB,CHN,1,19.104583,40.581085
2021,ALB,CHN,2,19.076028,40.513936
2021,ALB,CHN,3,19.058808,40.473442
2021,ALB,CHN,4,19.011287,40.361696
2021,ALB,CHN,5,19.9547,39.8141
2021,ALB,CHN,6,19.9437,39.6324
2021,ALB,CHN,7,20.169,39.3866
2021,ALB,CHN,8,20.3557,39.1144
2021,ALB,CHN,9,20.711914,38.853074
2021,ALB,CHN,10,20.738611,38.783107
2021,ALB,CHN,11,20.804141,38.682764
2021,ALB,CHN,12,20.891514,38.525341
2021,ALB,CHN,13,21.010439,38.456953
2021,ALB,CHN,14,21.1468,38.2266
2021,ALB,CHN,15,21.9041,38.3486
2021,ALB,CHN,16,22.828287,38.02424
2021,ALB,CHN,17,22.947178,37.960508
2021,ALB,CHN,18,23.020113,37.909026
2021,ALB,CHN,19,23.175353,37.880707
2021,ALB,CHN,20,23.401569,37.850922
2021,ALB,CHN,21,23.505426,37.837248
2021,ALB,CHN,22,23.6425,37.8192
2021,ALB,CHN,23,23.885914,37.616154
2021,ALB,CHN,24,23.9657,37.5496
2021,ALB,CHN,25,24.159791,37.356151
2021,ALB,CHN,26,24.236675,37.27952
2021,ALB,CHN,27,24.457626,37.276785
2021,ALB,CHN,28,24.636616,37.152415
2021,ALB,CHN,29,24.917963,36.941755
2021,ALB,CHN,30,25.090282,36.883539
2021,ALB,CHN,31,25.257671,36.849342
2021,ALB,CHN,32,25.395483,36.821188
2021,ALB,CHN,33,25.507264,36.798352
2021,ALB,CHN,34,26.054742,36.512579
2021,ALB,CHN,35,26.587212,36.251066
2021,ALB,CHN,36,26.918874,36.101606
2021,ALB,CHN,37,27.051888,36.047808
2021,ALB,CHN,38,27.337183,35.931621
2021,ALB,CHN,39,27.548237,35.88019
2021,ALB,CHN,40,28.180712,35.299346
2021,ALB,CHN,41,28.881234,34.656009
2021,ALB,CHN,42,28.964326,34.5797
2021,ALB,CHN,43,29.595152,34.000371
2021,ALB,CHN,44,29.703004,33.901323
2021,ALB,CHN,45,30.699385,32.986279
2021,ALB,CHN,46,30.765996,32.925106
2021,ALB,CHN,47,32.1,31.7
2021,ALB,CHN,48,32.359877,31.336373
2021,ALB,CHN,49,32.310104,31.102922
2021,ALB,CHN,50,32.382202,30.318359
2021,ALB,CHN,51,32.557983,30.213982
2021,ALB,CHN,52,32.6,29.7
2021,ALB,CHN,53,33.233643,28.444544
2021,ALB,CHN,54,34.5,27.0
2021,ALB,CHN,55,37.0,23.6
2021,ALB,CHN,56,37.786499,22.210682
2021,ALB,CHN,57,38.572998,20.807472
2021,ALB,CHN,58,41.000977,17.098792
2021,ALB,CHN,59,42.341309,14.509144
2021,ALB,CHN,60,42.541058,13.676089
2021,ALB,CHN,61,43.3,12.7
2021,ALB,CHN,62,43.746586,12.40439
2021,ALB,CHN,63,45.0,12.0
2021,ALB,CHN,64,50.856149,12.884027
2021,ALB,CHN,65,53.61885,13.300009
2021,ALB,CHN,66,55.041504,12.747516
2021,ALB,CHN,67,59.894005,11.083455
2021,ALB,CHN,68,60.825733,10.866984
2021,ALB,CHN,69,62.0601,10.5802
2021,ALB,CHN,70,64.303249,10.031585
2021,ALB,CHN,71,64.698862,9.934828
2021,ALB,CHN,72,64.992809,9.862937
2021,ALB,CHN,73,65.7044,9.6889
2021,ALB,CHN,74,68.858995,8.881605
2021,ALB,CHN,75,69.3291,8.7613
2021,ALB,CHN,76,69.671733,8.6701
2021,ALB,CHN,77,69.999915,8.582747
2021,ALB,CHN,78,70.817426,8.365148
2021,ALB,CHN,79,75.966807,6.966807
2021,ALB,CHN,80,78.019032,6.387793
2021,ALB,CHN,81,80.1,5.8
2021,ALB,CHN,82,81.9,5.9
2021,ALB,CHN,83,85.9479,6.1983
2021,ALB,CHN,84,90.0,6.4664
2021,ALB,CHN,85,94.326449,6.157121
2021,ALB,CHN,86,98.128129,5.811729
2021,ALB,CHN,87,99.763807,4.084523
2021,ALB,CHN,88,100.6,3.2
2021,ALB,CHN,89,101.316415,2.586072
2021,ALB,CHN,90,102.0,2.0
2021,ALB,CHN,91,103.6,1.1
2021,ALB,CHN,92,103.861103,1.171415
2021,ALB,CHN,93,104.145848,1.249295
2021,ALB,CHN,94,104.482294,1.341312
2021,ALB,CHN,95,108.7023,8.3192
2021,ALB,CHN,96,110.027598,10.173186
2021,ALB,CHN,97,110.80697,11.263464
2021,ALB,CHN,98,111.0534,11.6082
2021,ALB,CHN,99,111.478346,12.523981
2021,ALB,CHN,100,112.965,15.7278
2021,ALB,CHN,101,114.338334,17.570129
2021,ALB,CHN,102,115.841059,19.666279
2021,ALB,CHN,103,116.5017,20.601113
2021,ALB,CHN,104,117.437994,21.922538
2021,ALB,CHN,105,118.030487,22.691517
2021,ALB,CHN,106,118.203464,22.930938
2021,ALB,CHN,107,118.724128,23.582665
2021,ALB,CHN,108,118.980046,23.949944
2021,ALB,CHN,109,119.33882,24.448861
2021,ALB,CHN,110,119.523707,24.707707
2021,ALB,CHN,111,119.761963,25.085599
2021,ALB,CHN,112,119.820497,25.236972
2021,ALB,CHN,113,120.0,25.7
2021,ALB,CHN,114,120.232569,26.078521
2021,ALB,CHN,115,120.787503,26.976762
2021,ALB,CHN,116,121.3,27.8
2021,ALB,CHN,117,122.23938,28.579698
2021,ALB,CHN,118,122.557297,29.38397
2021,ALB,CHN,119,122.652515,29.623632
2021,ALB,CHN,120,122.875214,30.181935
2021,ALB,CHN,121,122.878907,30.349364
2021,ALB,CHN,122,122.891141,30.901897
2021,ALB,CHN,123,122.66922,30.932268
2021,ALB,CHN,124,121.944122,31.062345
2021,MAR,DEU,0,-7.555,33.6435
2021,MAR,DEU,1,-7.7875,34.076471
2021,MAR,DEU,2,-8.018851,34.507302
2021,MAR,DEU,3,-8.14038,34.73362
2021,MAR,DEU,4,-8.452202,35.314307
2021,MAR,DEU,5,-8.535563,35.469545
2021,MAR,DEU,6,-8.686819,35.75122
2021,MAR,DEU,7,-8.756874,35.881681
2021,MAR,DEU,8,-8.838176,36.033084
2021,MAR,DEU,9,-9.062995,36.451752
2021,MAR,DEU,10,-9.25,36.8
2021,MAR,DEU,11,-9.452092,37.781589
2021,MAR,DEU,12,-9.6,38.5
2021,MAR,DEU,13,-9.9844,40.7798
2021,MAR,DEU,14,-9.5,43.0
2021,MAR,DEU,15,-9.14264,43.688493
2021,MAR,DEU,16,-9.019938,43.924891
2021,MAR,DEU,17,-8.49576,44.934776
2021,MAR,DEU,18,-7.954994,45.668797
2021,MAR,DEU,19,-6.698867,47.340067
2021,MAR,DEU,20,-5.5,48.6667
2021,MAR,DEU,21,-5.06401,48.799916
2021,MAR,DEU,22,-4.270518,49.042365
2021,MAR,DEU,23,-4.030414,49.115729
2021,MAR,DEU,24,-3.986163,49.129249
2021,MAR,DEU,25,-3.197043,49.370363
2021,MAR,DEU,26,-2.39189,49.616376
2021,MAR,DEU,27,-1.992006,49.738559
2021,MAR,DEU,28,-1.93365,49.75639
2021,MAR,DEU,29,-1.665743,49.838248
2021,MAR,DEU,30,-1.47977,49.895072
2021,MAR,DEU,31,-1.3,49.95
2021,MAR,DEU,32,-0.671539,50.155459
2021,MAR,DEU,33,-0.545959,50.196513
2021,MAR,DEU,34,-0.343359,50.262748
2021,MAR,DEU,35,0.39288,50.503441
2021,MAR,DEU,36,1.193894,50.765311
2021,MAR,DEU,37,1.3,50.8
2021,MAR,DEU,38,1.498302,50.961124
2021,MAR,DEU,39,1.648479,51.072443
2021,MAR,DEU,40,1.868984,51.235892
2021,MAR,DEU,41,2.3601,51.6089
2021,MAR,DEU,42,2.9,51.9
2021,MAR,DEU,43,3.044362,52.01549
2021,MAR,DEU,44,3.327388,52.241911
2021,MAR,DEU,45,3.900173,52.700139
2021,MAR,DEU,46,4.9,53.5
2021,MAR,DEU,47,6.384053,53.685507
2021,MAR,DEU,48,8.25,53.9
2021,MAR,DEU,49,8.745294,53.909831
2021,MAR,DEU,50,9.041942,53.874321
2021,MAR,DEU,51,9.227347,53.877053
2021,MAR,DEU,52,9.336273,53.840148
2021,MAR,DEU,53,9.39653,53.775829
2021,MAR,DEU,54,9.496185,53.710038
2021,MAR,DEU,55,9.535584,53.633153
2021,MAR,DEU,56,9.632921,53.583652
2021,MAR,DEU,57,9.751117,53.55475
2021,MAR,DEU,58,9.927252,53.545112
2021,TUR,KOR,0,34.662503,36.755307
2021,TUR,KOR,1,34.666346,36.540598
2021,TUR,KOR,2,34.671546,36.250032
2021,TUR,KOR,3,34.678489,35.862166
2021,TUR,KOR,4,34.681919,35.670499
2021,TUR,KOR,5,34.083651,35.254941
2021,TUR,KOR,6,34.2,35.2
2021,TUR,KOR,7,33.840932,34.601554
2021,TUR,KOR,8,33.784931,34.508219
2021,TUR,KOR,9,33.729569,34.415948
2021,TUR,KOR,10,33.668074,34.313456
2021,TUR,KOR,11,33.166376,33.477293
2021,TUR,KOR,12,33.062511,33.304186
2021,TUR,KOR,13,32.738332,32.763887
2021,TUR,KOR,14,32.543549,32.439248
2021,TUR,KOR,15,32.1,31.7
2021,TUR,KOR,16,32.359877,31.336373
2021,TUR,KOR,17,32.310104,31.102922
2021,TUR,KOR,18,32.382202,30.318359
2021,TUR,KOR,19,32.557983,30.213982
2021,TUR,KOR,20,32.6,29.7
2021,TUR,KOR,21,33.233643,28.444544
2021,TUR,KOR,22,34.5,27.0
2021,TUR,KOR,23,37.0,23.6
2021,TUR,KOR,24,37.786499,22.210682
2021,TUR,KOR,25,38.572998,20.807472
2021,TUR,KOR,26,41.000977,17.098792
2021,TUR,KOR,27,42.341309,14.509144
2021,TUR,KOR,28,42.541058,13.676089
2021,TUR,KOR,29,43.3,12.7
2021,TUR,KOR,30,43.746586,12.40439
2021,TUR,KOR,31,45.0,12.0
2021,TUR,KOR,32,50.856149,12.884027
2021,TUR,KOR,33,53.61885,13.300009
2021,TUR,KOR,34,55.041504,12.747516
2021,TUR,KOR,35,59.894005,11.083455
2021,TUR,KOR,36,60.825733,10.866984
2021,TUR,KOR,37,62.0601,10.5802
2021,TUR,KOR,38,64.303249,10.031585
2021,TUR,KOR,39,64.698862,9.934828
2021,TUR,KOR,40,64.992809,9.862937
2021,TUR,KOR,41,65.7044,9.6889
2021,TUR,KOR,42,68.858995,8.881605
2021,TUR,KOR,43,69.3291,8.7613
2021,TUR,KOR,44,69.671733,8.6701
