base_year,scenario,rho,draw,risk_transfer_value_share,material_joint_value_share
2024,direct_partner,0.0,1,0.6452763190328873,0.1329233892560263
2024,integrated,0.0,1,0.016630338148933,0.6113282650308741
2012,direct_partner,0.0,1,0.681867521610784,0.1763533751630912
2012,integrated,0.0,1,0.0147409351772903,0.5122590283865468
2013,direct_partner,0.0,1,0.689240412043258,0.1809267914359761
2013,integrated,0.0,1,0.0135656056010107,0.565039928351856
2014,direct_partner,0.0,1,0.6454955585164569,0.1677037248876567
2014,integrated,0.0,1,0.0135845160776345,0.5539009735744261
2015,direct_partner,0.0,1,0.6755596012217004,0.1733996383457722
2015,integrated,0.0,1,0.0123895085137811,0.5673816523939358
2016,direct_partner,0.0,1,0.7306327750174259,0.1633216413419533
2016,integrated,0.0,1,0.0149750085430095,0.5710404881117183
2017,direct_partner,0.0,1,0.7039075131425296,0.1421204800566105
2017,integrated,0.0,1,0.0164752539980203,0.5275450218017101
2018,direct_partner,0.0,1,0.6824757937125121,0.1350364068238814
2018,integrated,0.0,1,0.0194159692644661,0.5158567494580643
2019,direct_partner,0.0,1,0.7380406766149938,0.1538459403529207
2019,integrated,0.0,1,0.022751345370724,0.5533205568540256
2020,direct_partner,0.0,1,0.77928312216957,0.1047864954772771
2020,integrated,0.0,1,0.0136775552952077,0.5131999956774211
2021,direct_partner,0.0,1,0.7172534265074606,0.1262949565670025
2021,integrated,0.0,1,0.0256319573577895,0.4424242196392156
2022,direct_partner,0.0,1,0.7133345935211126,0.1321777706478382
2022,integrated,0.0,1,0.0224861284850966,0.4169851171715844
2023,direct_partner,0.0,1,0.7345021863028218,0.1304921867576096
2023,integrated,0.0,1,0.0155070597574033,0.5361393452435258
2024,direct_partner,0.0,2,0.6564559736597634,0.1042830092022107
2024,integrated,0.0,2,0.0181237926501041,0.60375810519173
2012,direct_partner,0.0,2,0.7140547268801869,0.1540113074317106
2012,integrated,0.0,2,0.0144142403438953,0.5130049676265864
2013,direct_partner,0.0,2,0.6859327891616288,0.1663819514309853
2013,integrated,0.0,2,0.0136415251433001,0.5834778103090229
2014,direct_partner,0.0,2,0.6663245814146719,0.1619127618866379
2014,integrated,0.0,2,0.0234083507845368,0.526271544034104
2015,direct_partner,0.0,2,0.6842477170871721,0.1535360214417739
2015,integrated,0.0,2,0.0298659971203215,0.5656307396472489
2016,direct_partner,0.0,2,0.7260471282973557,0.1481138146569076
2016,integrated,0.0,2,0.0132147452516824,0.5818478694498258
2017,direct_partner,0.0,2,0.7207142185353489,0.1443238948203511
2017,integrated,0.0,2,0.0230482870463661,0.5331657255978072
2018,direct_partner,0.0,2,0.6964285448187651,0.1387160790596606
2018,integrated,0.0,2,0.0195390192872467,0.5339251392423761
2019,direct_partner,0.0,2,0.7375919863189322,0.1064378335241288
2019,integrated,0.0,2,0.0378826510502418,0.5444256083501012
2020,direct_partner,0.0,2,0.7611209529916337,0.0999024939759199
2020,integrated,0.0,2,0.0159756210638067,0.4791186349267045
2021,direct_partner,0.0,2,0.7134340735068674,0.1150624198337769
2021,integrated,0.0,2,0.0380921488830867,0.4467578757195948
2022,direct_partner,0.0,2,0.7156048051914649,0.1277102203307347
2022,integrated,0.0,2,0.0245345034331579,0.5457795972419792
2023,direct_partner,0.0,2,0.7207752976840622,0.1239922367188658
2023,integrated,0.0,2,0.0243951333620255,0.5427032665488158
2024,direct_partner,0.0,3,0.7497884085571944,0.0919593874999524
2024,integrated,0.0,3,0.0260232792286087,0.5480163428974889
2012,direct_partner,0.0,3,0.6983948930784909,0.1401535355533597
2012,integrated,0.0,3,0.0312000944464629,0.4362804083783011
2013,direct_partner,0.0,3,0.6790969382926818,0.123214315125274
2013,integrated,0.0,3,0.0113083973676001,0.4825647417306719
2014,direct_partner,0.0,3,0.6612645547322211,0.114364359445897
2014,integrated,0.0,3,0.0295725337074182,0.4626769533833474
2015,direct_partner,0.0,3,0.696065681550858,0.1344388610417204
2015,integrated,0.0,3,0.0289441224157071,0.4830461929342208
2016,direct_partner,0.0,3,0.7102641646559926,0.1320160601994536
2016,integrated,0.0,3,0.0244011570930158,0.4972738432869024
2017,direct_partner,0.0,3,0.7045270305594471,0.1021298400918125
2017,integrated,0.0,3,0.0176999961318635,0.4764453165367294
2018,direct_partner,0.0,3,0.7024215768222841,0.0925346109304767
2018,integrated,0.0,3,0.034363734540424,0.4666231228607529
2019,direct_partner,0.0,3,0.7512583512658014,0.0929577058244078
2019,integrated,0.0,3,0.0249054148569437,0.3865319108664732
2020,direct_partner,0.0,3,0.7328527153129075,0.085760015798422
