base_year,scenario,rho,draw,risk_transfer_value_share,material_joint_value_share
2020,integrated,0.0,3,0.0172495225466434,0.3236649932106417
2021,direct_partner,0.0,3,0.7161384203598519,0.1123762618293515
2021,integrated,0.0,3,0.0309266132703847,0.3541875002024796
2022,direct_partner,0.0,3,0.7251504868729264,0.0940497724207081
2022,integrated,0.0,3,0.0144953121447535,0.4103594261597174
2023,direct_partner,0.0,3,0.7246140640782641,0.1031542868695614
2023,integrated,0.0,3,0.0161417000886885,0.4651218817829288
2024,direct_partner,0.0,4,0.7300219626998566,0.1238137837178667
2024,integrated,0.0,4,0.0167836992049164,0.5966396810525194
2012,direct_partner,0.0,4,0.7025228135061546,0.1739722768256621
2012,integrated,0.0,4,0.0298198623848107,0.5098872168287576
2013,direct_partner,0.0,4,0.6761539736450921,0.170991504667563
2013,integrated,0.0,4,0.0159819903920594,0.5731316381873568
2014,direct_partner,0.0,4,0.646578884445933,0.1507468920292453
2014,integrated,0.0,4,0.0218316560565601,0.5461633827138865
2015,direct_partner,0.0,4,0.6726115869061852,0.1539694151251997
2015,integrated,0.0,4,0.0414440305897394,0.5710869216991048
2016,direct_partner,0.0,4,0.7075923927113179,0.1614554535844619
2016,integrated,0.0,4,0.0262074819679829,0.5800013540056984
2017,direct_partner,0.0,4,0.6980383500080225,0.1294972155670605
2017,integrated,0.0,4,0.0222020680668583,0.54039737298622
2018,direct_partner,0.0,4,0.7195326614355625,0.1255781468216661
2018,integrated,0.0,4,0.0343178384991,0.5324432819988458
2019,direct_partner,0.0,4,0.7234916780258834,0.1174367120858049
2019,integrated,0.0,4,0.0341923165583259,0.5534302142937598
2020,direct_partner,0.0,4,0.7488667177668819,0.1004109838894289
2020,integrated,0.0,4,0.0319570914823981,0.5082962540462713
2021,direct_partner,0.0,4,0.6970903080560883,0.1160514531893008
2021,integrated,0.0,4,0.0258616074806132,0.5192185850790775
2022,direct_partner,0.0,4,0.7115853838803654,0.137363553717776
2022,integrated,0.0,4,0.0407205853567387,0.5023748954763659
2023,direct_partner,0.0,4,0.7291501811951198,0.123787872344161
2023,integrated,0.0,4,0.0193955761785762,0.5469788704774442
2024,direct_partner,0.0,5,0.7302006718182559,0.106540056553113
2024,integrated,0.0,5,0.0192040354587773,0.458806075492044
2012,direct_partner,0.0,5,0.7197709423917068,0.1204537667521124
2012,integrated,0.0,5,0.0143347390781441,0.3338406561601251
2013,direct_partner,0.0,5,0.7062065958680769,0.1315559789766767
2013,integrated,0.0,5,0.0133371529614037,0.3770686590964121
2014,direct_partner,0.0,5,0.6498216171883834,0.1224242912617298
2014,integrated,0.0,5,0.0250486587842623,0.3704701786137033
2015,direct_partner,0.0,5,0.6648380680362573,0.1408524875517642
2015,integrated,0.0,5,0.0177269125842338,0.5058734569438796
2016,direct_partner,0.0,5,0.7147764901981091,0.1023255769540547
2016,integrated,0.0,5,0.0274882288925968,0.4942047518033561
2017,direct_partner,0.0,5,0.6987996688612965,0.1191108368132228
2017,integrated,0.0,5,0.0176949406934087,0.4146095813306381
2018,direct_partner,0.0,5,0.6984551308512353,0.1038163229449244
2018,integrated,0.0,5,0.0131334635365764,0.4803793981483387
2019,direct_partner,0.0,5,0.730534107006481,0.0943614384339777
2019,integrated,0.0,5,0.0309260591283859,0.403889504728939
2020,direct_partner,0.0,5,0.7293565743780114,0.0864938225807615
2020,integrated,0.0,5,0.0117259005807634,0.3347965517038776
2021,direct_partner,0.0,5,0.7111714712675397,0.0994350337863623
2021,integrated,0.0,5,0.0186867517927076,0.3970737374389096
2022,direct_partner,0.0,5,0.7187716083335773,0.0923152052773495
2022,integrated,0.0,5,0.0246737850695124,0.3503576384737725
2023,direct_partner,0.0,5,0.7121446844861322,0.0950292557309766
2023,integrated,0.0,5,0.0219160608264363,0.4495335206996874
2024,direct_partner,0.8,1,0.724782204491499,0.1408909120351985
2024,integrated,0.8,1,0.0162553407572053,0.6100538607173789
2012,direct_partner,0.8,1,0.6974116665897115,0.1707620033418926
2012,integrated,0.8,1,0.012278722590972,0.5047006928454133
2013,direct_partner,0.8,1,0.6873541558717685,0.1837170502628185
2013,integrated,0.8,1,0.012970003294901,0.5529799720373129
2014,direct_partner,0.8,1,0.6588029950264116,0.1722010821028077
2014,integrated,0.8,1,0.013569536358845,0.5470191921117888
2015,direct_partner,0.8,1,0.6830864400474844,0.1812662148288238
2015,integrated,0.8,1,0.0171131063517714,0.5823761488456163
2016,direct_partner,0.8,1,0.726613247369439,0.1635432523536735
2016,integrated,0.8,1,0.023757718606437,0.5913195810980166
2017,direct_partner,0.8,1,0.7055684472758234,0.1578980746379552
2017,integrated,0.8,1,0.016856023705473,0.5220348817526341
2018,direct_partner,0.8,1,0.6921934248192306,0.1342544816950475
2018,integrated,0.8,1,0.0149728499966037,0.5417403878865319
2019,direct_partner,0.8,1,0.7388727780782927,0.1481872998476325
2019,integrated,0.8,1,0.0226284322308122,0.5436928986412181
2020,direct_partner,0.8,1,0.7256808454353535,0.1162602132974808
2020,integrated,0.8,1,0.0047631802090077,0.5121104850273849
2021,direct_partner,0.8,1,0.6983057939016547,0.1276065367777469
2021,integrated,0.8,1,0.027316753143944,0.4375863927823006
2022,direct_partner,0.8,1,0.7030540013874265,0.1306875119859993
2022,integrated,0.8,1,0.0215869411135378,0.4078988135585718
2023,direct_partner,0.8,1,0.7339159514795658,0.1302452301183505
2023,integrated,0.8,1,0.0166363086457763,0.5398631656681881
2024,direct_partner,0.8,2,0.648883640818835,0.1104823187147104
2024,integrated,0.8,2,0.0270716017596592,0.5851655158947375
2012,direct_partner,0.8,2,0.6995113510515397,0.1577993029344555
2012,integrated,0.8,2,0.0140235016981013,0.5055997604506213
2013,direct_partner,0.8,2,0.6845155563968623,0.1558180562526111
2013,integrated,0.8,2,0.0144180429952037,0.5767693469631746
2014,direct_partner,0.8,2,0.647565809725444,0.1658082983981669
2014,integrated,0.8,2,0.0226503461136173,0.5107623176004196
2015,direct_partner,0.8,2,0.685855249536634,0.1551066959227157
2015,integrated,0.8,2,0.029543143263016,0.5765878180572994
2016,direct_partner,0.8,2,0.7284996415572024,0.1482370187033966
2016,integrated,0.8,2,0.0125545906355265,0.5819839841360527
2017,direct_partner,0.8,2,0.7249986119869607,0.1276589998689521
2017,integrated,0.8,2,0.0217731917843243,0.5338844568844499
2018,direct_partner,0.8,2,0.703340611288506,0.1370950703404873
2018,integrated,0.8,2,0.0198366930260374,0.5452507787028459
2019,direct_partner,0.8,2,0.7428846230597036,0.102349938645949
2019,integrated,0.8,2,0.0371425517588174,0.5441067588039423
2020,direct_partner,0.8,2,0.760503017901666,0.1020969114729184
2020,integrated,0.8,2,0.0159549723724784,0.4973202919043961
2021,direct_partner,0.8,2,0.7141593616356586,0.1266696841013718
2021,integrated,0.8,2,0.0302628185849433,0.474125627709111
2022,direct_partner,0.8,2,0.7215544277825467,0.1320859290284247
2022,integrated,0.8,2,0.0322219603805914,0.5295239823044223
2023,direct_partner,0.8,2,0.72275795517967,0.1090810157916362
2023,integrated,0.8,2,0.0238657842427857,0.5655700914464425
2024,direct_partner,0.8,3,0.7433737536590617,0.0959456029619187
2024,integrated,0.8,3,0.0282655992275817,0.5457296333377368
2012,direct_partner,0.8,3,0.7040721478679991,0.1382947104940569
2012,integrated,0.8,3,0.0298499676987405,0.4602825635700079
2013,direct_partner,0.8,3,0.6716641545174232,0.1275141767882612
2013,integrated,0.8,3,0.0132226056070016,0.4678259623430441
2014,direct_partner,0.8,3,0.6613352896852182,0.0992491590949221
2014,integrated,0.8,3,0.0335912845817705,0.4516672805547527
2015,direct_partner,0.8,3,0.675995599436488,0.1237233472917083
2015,integrated,0.8,3,0.0328064757558361,0.495430777298844
2016,direct_partner,0.8,3,0.7068574074892883,0.1037687880568845
2016,integrated,0.8,3,0.0461270431859016,0.4874605937931959
2017,direct_partner,0.8,3,0.7107476903645117,0.1089238214259946
2017,integrated,0.8,3,0.0207067111894504,0.4590331217621936
2018,direct_partner,0.8,3,0.7093695183843242,0.0885955025510447
2018,integrated,0.8,3,0.0361722306914803,0.4707794484566111
2019,direct_partner,0.8,3,0.7438428203227284,0.0949136319916286
2019,integrated,0.8,3,0.0401699083158082,0.467597677060391
2020,direct_partner,0.8,3,0.7365775652792753,0.089029052233886
2020,integrated,0.8,3,0.0182354372441513,0.3368636578053706
2021,direct_partner,0.8,3,0.7033607095929192,0.1153763967636964
2021,integrated,0.8,3,0.0231225678267444,0.3559289668926379
2022,direct_partner,0.8,3,0.7249748250387872,0.0933327201254344
2022,integrated,0.8,3,0.0212902591519428,0.3929141507810605
2023,direct_partner,0.8,3,0.7207638278454876,0.1020513412500396
2023,integrated,0.8,3,0.0156385360358565,0.4657301777769917
2024,direct_partner,0.8,4,0.7391401525166195,0.1230394324051261
2024,integrated,0.8,4,0.0170398230143412,0.5969036576851914
2012,direct_partner,0.8,4,0.7094940725077158,0.1607200211381498
2012,integrated,0.8,4,0.0183906491224163,0.5201874462508154
2013,direct_partner,0.8,4,0.6863025936012721,0.1673847609065555
2013,integrated,0.8,4,0.0149894717322085,0.5707118441240355
2014,direct_partner,0.8,4,0.6535491708381876,0.1615669373174058
2014,integrated,0.8,4,0.0229762824834658,0.5699609161199198
2015,direct_partner,0.8,4,0.6817543283106476,0.1689594122082738
2015,integrated,0.8,4,0.0393723813535723,0.5788623442300111
2016,direct_partner,0.8,4,0.7262305368295117,0.147949652389375
2016,integrated,0.8,4,0.0250212687859975,0.5761647173997645
2017,direct_partner,0.8,4,0.7034087006166322,0.1261423101268752
2017,integrated,0.8,4,0.0213924033291902,0.5422642209121665
2018,direct_partner,0.8,4,0.6941400620911212,0.1421882323268314
2018,integrated,0.8,4,0.0202309459229993,0.5286049312711703
2019,direct_partner,0.8,4,0.7266611117585555,0.1475017374844458
2019,integrated,0.8,4,0.0362337587365288,0.5640536411618599
2020,direct_partner,0.8,4,0.7174307237684235,0.102773574327776
2020,integrated,0.8,4,0.0255792665746443,0.5007106186150833
2021,direct_partner,0.8,4,0.7181545050320439,0.1221860955145493
2021,integrated,0.8,4,0.0403271673178047,0.5221247263844265
2022,direct_partner,0.8,4,0.7237191888816936,0.1329106270171646
2022,integrated,0.8,4,0.0429780876563982,0.5082223910278544
2023,direct_partner,0.8,4,0.7382295731335257,0.1234537866136446
2023,integrated,0.8,4,0.0274865494662103,0.554735700622364
2024,direct_partner,0.8,5,0.7302115088711748,0.0900788318129032
2024,integrated,0.8,5,0.0191935178259099,0.4459167153073909
2012,direct_partner,0.8,5,0.7058379609982616,0.1213093205708141
2012,integrated,0.8,5,0.0136078469435232,0.3506443864981442
2013,direct_partner,0.8,5,0.6951994986190851,0.1269913746166417
2013,integrated,0.8,5,0.0135440781703165,0.36582061980062
2014,direct_partner,0.8,5,0.6825090811877339,0.1351778666502315
2014,integrated,0.8,5,0.0256714690894416,0.3586221334907497
2015,direct_partner,0.8,5,0.6747910129736521,0.1432246781689699
2015,integrated,0.8,5,0.0192925713866391,0.5074265582886669
2016,direct_partner,0.8,5,0.7168900070746552,0.1102889847205545
2016,integrated,0.8,5,0.0279773838924342,0.5102209010090958
2017,direct_partner,0.8,5,0.7133926651788078,0.1019675285647729
2017,integrated,0.8,5,0.0221615578456709,0.4843200942182926
2018,direct_partner,0.8,5,0.6966212535356332,0.1062520440883916
2018,integrated,0.8,5,0.0180729068777147,0.487989702721236
2019,direct_partner,0.8,5,0.721558418114791,0.0915978269500111
2019,integrated,0.8,5,0.0315589508601125,0.4719788168900029
2020,direct_partner,0.8,5,0.7249011400940103,0.0860984331312854
2020,integrated,0.8,5,0.0116524607236909,0.3167046185146401
2021,direct_partner,0.8,5,0.7147751763182573,0.0995996652344701
2021,integrated,0.8,5,0.0182223476978885,0.3797112751845741
2022,direct_partner,0.8,5,0.7234531973922678,0.0915029471727143
2022,integrated,0.8,5,0.0175914041362574,0.3891210173378182
2023,direct_partner,0.8,5,0.7276390846824551,0.0944017503138863
2023,integrated,0.8,5,0.0221663004464667,0.4454382407835666
