iso,mean_pp,min_pp,max_pp
CHN,4.669871612820742,3.2081976956336704,5.768162375424952
ZAF,2.119837568786365,1.054012502589872,4.3260618097178005
AUS,1.5800769538366706,1.2144086124695668,2.056017622985181
PER,1.529244289092254,1.3365748028930748,1.9790064074514504
IDN,1.362496732740825,0.4255164316279631,2.6188993977959205
BRA,1.246744673464134,1.0566123771049196,1.5559140690172737
KOR,-1.244729528240473,-1.670647891163547,-0.9184944052157532
CAN,-1.3077120253033512,-1.5891843285055935,-0.8685332375321092
GBR,-1.525100731491379,-2.284822382522352,-1.0030445499630247
DEU,-1.5343689876023103,-2.19536763164058,-0.9577195580426576
BEL,-1.6599599023003515,-2.3719680314823943,-1.196800266290969
JPN,-1.886295882230851,-2.235131742709444,-1.5818267300682844
