end_year,label,worsening,worsening_low,worsening_high,improving,improving_low,improving_high
2013,2012–13,17.472104345846706,10.79299870578283,26.074766595391395,24.090130008854374,7.847995657077764,40.8974952228421
2014,2013–14,21.39782503848516,11.351464487271306,33.61163331800464,14.691722741731407,5.584685881080127,26.2354793635587
2015,2014–15,37.51669327164948,20.11577206240878,52.44396523966438,20.57295328671493,8.210327413376634,36.48240898196769
2016,2015–16,28.673469015416103,17.16952205916041,39.09439242672514,16.98743940832555,6.968916600201111,31.393406437512517
2017,2016–17,39.3329824210614,27.3186761462082,51.21366002411923,8.501300787516513,4.091970083731869,14.372789895482628
2018,2017–18,35.25368302540417,23.148930757829117,46.12301312865512,9.90627653072069,4.437428138229381,18.28410307803077
2019,2018–19,46.89360404201644,17.50267054426441,66.82516218873515,9.399398441954125,3.264708629659611,24.98423149504804
2020,2019–20,39.876127198028826,22.528402381187,53.93607541408283,14.87313784981091,5.614316268352689,31.2261897033168
2021,2020–21,42.54912927186373,23.665125677423696,58.25748431890789,18.379620253203548,7.390518292573729,33.54850416071853
2022,2021–22,61.146020711584455,23.374736512506047,83.04683975013113,9.458534952653585,2.350298933643372,23.73162121365469
2023,2022–23,22.13716866540309,15.922446466251676,33.63735182343412,12.932803007412492,7.288158324203459,23.68149035861482
2024,2023–24,37.02687845618853,24.74867163003177,48.1993957341196,5.264292545573471,2.234193626572631,11.10814616187838
0,Pooled,37.6836125271666,26.97646455407674,46.01557837222938,13.538007489808972,9.075350683497312,21.32362485724224
