year,mismatch_pct
2012,42.29636798235988
2013,41.80229611427965
2014,42.45844329587042
2015,42.25462365132287
2016,41.10768357696055
2017,39.541660877461794
2018,38.91521294346759
2019,39.8299722279827
2020,42.34352747066567
2021,42.4145050080641
2022,40.78532189305714
2023,37.66972615127215
2024,37.06146918736636
