year,exporter_iso,importer_iso,top_chokepoint,weighted_shift_usd
2023,RUS,CHN,Malacca,14612054.787476376
2023,USA,FRA,Panama,14578504.4663001
2023,KOR,ITA,BabAlMandeb,12768877.70118591
2023,AUS,SWE,Dover,12256156.72892525
2023,MYS,KOR,Malacca,12054152.726634417
2024,ZWE,CHN,Malacca,273271142.9066758
2024,ARE,TUR,Suez,238721805.9297734
2024,RUS,CHN,Malacca,163042728.3120718
2024,IND,TUR,Suez,148788363.1864909
2024,FIN,CHN,Malacca,127976348.65082727
2024,CHL,SWE,Panama,117920509.46606372
2024,KAZ,IDN,BabAlMandeb,116620420.03862824
2024,MYS,TUR,Suez,84218015.5967583
2024,KAZ,VNM,Malacca,76921388.59948386
2024,COD,BEL,Dover,63405450.89442623
2024,MYS,BEL,Dover,52473290.31308309
2024,IND,KOR,Malacca,48074397.59721021
2024,TJK,TUR,Suez,47101109.3777488
2024,RUS,KOR,Malacca,47003315.78796853
2024,ZMB,CHN,Malacca,40387474.060708
2024,MYS,KOR,Malacca,32885358.500561915
2024,MYS,IND,Malacca,32600489.45584053
2024,SGP,VNM,Malacca,28760943.3940855
2024,IND,VNM,Malacca,23472162.08888404
2024,FIN,CAN,Panama,21398233.164288897
2024,BRA,CAN,Panama,20887306.066730656
2024,MYS,BGD,Malacca,20336407.39331377
2024,NAM,CAN,Panama,19837681.188038696
2024,RUS,AZE,Dover,17214756.546699245
2024,OMN,TUR,Suez,17091961.955231287
2024,IDN,FIN,Dover,16957620.328924865
2024,MYS,VNM,Malacca,16154369.470674371
2024,DEU,BGR,Gibraltar,15729801.608076762
2024,ARE,CHN,Malacca,15215977.446635384
2024,MDG,JPN,Malacca,15070775.73843221
2024,MYS,CHN,Malacca,10616336.493117511
2024,SAU,KOR,Malacca,10432648.436445694
