base_year,importer_iso,metal,stage,scenario,delta_direct_hhi,delta_origin_hhi,delta_top_chokepoint_share,equal_year_weight
2024,USA,Aluminium,metal,direct_partner,-0.4909336920498964,-0.0463545982305474,0.3432641489093576,0.0131625962559196
2024,CHN,Aluminium,metal,direct_partner,-0.4178636599064871,-0.038696063665288,-0.280673823538084,0.0107949358430656
2024,KOR,Aluminium,metal,direct_partner,-0.1360611361471453,-0.023067429457134,0.1179200474359198,0.0060252530390472
2024,TUR,Aluminium,metal,direct_partner,-0.1006772379520867,-0.0108366302979174,-0.0206488391714673,0.0057367817894488
2024,JPN,Aluminium,metal,direct_partner,-0.0910037511458697,-0.0377181179320716,0.2621656677727554,0.0054250136394599
2024,NLD,Aluminium,metal,direct_partner,-0.1295953149798534,-0.0294042682651357,0.1966378140892033,0.0044676260861716
2024,DEU,Aluminium,metal,direct_partner,-0.1150950213158624,-0.0027527429304604,0.2687434855540165,0.0040513111172729
2024,ITA,Aluminium,metal,direct_partner,-0.0525548598458973,0.0110302444089641,-0.1203033922756465,0.0036081838253227
2024,MYS,Aluminium,metal,direct_partner,-0.1172161602346302,-0.0107623431776317,-0.0154059298318096,0.002770115066269
2024,VNM,Aluminium,metal,direct_partner,-0.2177024263988992,-0.0351414171018692,0.0336760313308244,0.0020780076915158
2024,MEX,Aluminium,metal,direct_partner,-0.2700485582654431,-0.0577007383532341,-0.2152223840852971,0.001926733311915
2024,THA,Aluminium,metal,direct_partner,-0.1072412673638312,-0.0259152193571919,-0.0475845767401652,0.0018716784280083
2024,GRC,Aluminium,metal,direct_partner,-0.0888745986109969,-0.0027142904735132,-0.2683841221739773,0.0016699170853279
2024,GBR,Aluminium,metal,direct_partner,-0.2516198641850377,-0.0175066006201971,-0.0954112235024255,0.0012021044489038
2024,AUT,Aluminium,metal,direct_partner,-0.2902529069237509,-0.0131697972439198,0.375655891485776,0.0012005882911453
2024,ESP,Aluminium,metal,direct_partner,-0.0821048140444456,-0.0014781575843888,-0.0139163508011597,0.0010311410557635
2024,POL,Aluminium,metal,direct_partner,-0.0297312569918173,0.0037912380817017,0.1912030018367109,0.0009560787913864
2024,SGP,Aluminium,metal,direct_partner,-0.6168599284585253,-0.0842086807469315,-0.080705501560425,0.0008509490673428
2024,FRA,Aluminium,metal,direct_partner,-0.0514636240852304,-0.0067735485236406,0.0225707605900293,0.0007667872578742
2024,HUN,Aluminium,metal,direct_partner,-0.3785141019763915,-0.0232906450639664,0.1657212392720602,0.0007239655691312
